1000 1000
642 1 28
676 2 605
378 3 267
202 4 166
976 5 305
796 6 167
883 7 683
360 8 479
335 9 805
939 10 404
328 11 390
288 12 83
954 13 819
688 14 413
604 15 393
767 16 284
649 17 300
987 18 644
435 19 558
815 20 178
262 21 904
403 22 326
686 23 718
1000 24 484
885 25 983
778 26 290
597 27 491
571 28 527
716 29 662
199 30 769
897 31 471
301 32 536
921 33 678
723 34 274
626 35 949
722 36 119
894 37 346
214 38 321
141 39 160
920 40 998
47 41 564
252 42 624
684 43 118
310 44 854
717 45 202
218 46 996
371 47 69
257 48 373
383 49 397
497 50 779
218 51 531
437 52 639
293 53 853
413 54 708
757 55 873
741 56 754
307 57 700
786 58 153
591 59 633
827 60 165
657 61 212
987 62 140
786 63 32
427 64 983
437 65 847
127 66 140
532 67 352
693 68 500
437 69 930
84 70 112
702 71 809
586 72 769
183 73 400
872 74 430
589 75 763
405 76 184
941 77 294
939 78 12
505 79 117
766 80 163
736 81 847
257 82 63
907 83 686
2 84 908
814 85 490
935 86 887
429 87 166
115 88 723
904 89 226
125 90 32
268 91 930
57 92 375
548 93 930
701 94 74
397 95 965
878 96 628
299 97 522
301 98 250
901 99 456
71 100 689
403 101 69
534 102 624
813 103 765
433 104 996
474 105 597
769 106 139
388 107 681
996 108 401
392 109 883
744 110 997
38 111 305
689 112 798
821 113 596
149 114 414
51 115 218
992 116 960
825 117 333
783 118 385
523 119 50
425 120 865
684 121 823
589 122 917
345 123 926
136 124 497
218 125 410
706 126 267
193 127 504
933 128 708
57 129 92
808 130 652
749 131 219
257 132 682
596 133 301
641 134 289
138 135 380
2 136 567
474 137 423
786 138 282
657 139 10
37 140 297
821 141 963
123 142 771
435 143 121
171 144 14
877 145 739
732 146 165
15 147 647
182 148 138
642 149 650
282 150 203
307 151 197
172 152 554
899 153 96
534 154 94
812 155 456
300 156 837
978 157 454
609 158 520
141 159 14
609 160 650
116 161 356
899 162 384
549 163 457
207 164 410
526 165 729
119 166 845
82 167 10
131 168 483
8 169 782
108 170 698
950 171 423
57 172 174
733 173 27
272 174 673
61 175 868
210 176 876
295 177 949
437 178 337
540 179 561
82 180 376
2 181 820
607 182 339
616 183 170
17 184 614
252 185 694
939 186 862
158 187 353
414 188 355
543 189 17
593 190 664
456 191 935
539 192 734
125 193 646
580 194 27
627 195 257
157 196 24
587 197 165
980 198 935
2 199 360
704 200 297
563 201 375
811 202 161
854 203 332
179 204 902
951 205 277
766 206 365
2 207 79
453 208 213
115 209 760
618 210 925
37 211 924
534 212 659
736 213 257
270 214 550
143 215 936
172 216 731
562 217 341
437 218 476
26 219 511
487 220 886
694 221 292
351 222 328
307 223 753
812 224 55
43 225 578
898 226 439
329 227 198
478 228 619
825 229 762
782 230 39
696 231 382
987 232 851
250 233 151
680 234 558
216 235 164
326 236 379
422 237 516
23 238 20
590 239 317
526 240 537
578 241 535
510 242 334
560 243 499
446 244 701
376 245 627
394 246 579
625 247 845
330 248 97
910 249 54
801 250 220
99 251 603
208 252 688
232 253 560
802 254 537
946 255 254
171 256 493
280 257 812
427 258 280
690 259 513
896 260 575
736 261 717
93 262 407
665 263 304
140 264 514
33 265 61
514 266 937
778 267 1000
822 268 233
559 269 611
426 270 469
641 271 454
767 272 230
888 273 71
218 274 232
280 275 71
676 276 681
649 277 939
334 278 963
805 279 801
947 280 159
582 281 742
595 282 216
962 283 699
53 284 743
580 285 943
498 286 893
218 287 271
681 288 638
84 289 624
880 290 580
123 291 775
825 292 591
476 293 368
2 294 221
941 295 772
978 296 544
207 297 497
380 298 174
1000 299 957
457 300 155
902 301 381
559 302 169
789 303 515
320 304 223
462 305 757
274 306 32
680 307 209
743 308 764
115 309 191
730 310 609
902 311 437
645 312 58
16 313 819
809 314 490
563 315 285
893 316 894
584 317 304
658 318 447
839 319 951
669 320 695
459 321 585
294 322 642
910 323 744
472 324 422
885 325 42
791 326 65
744 327 260
466 328 313
693 329 268
221 330 232
808 331 796
193 332 532
127 333 39
868 334 588
466 335 940
580 336 317
223 337 738
193 338 148
363 339 849
363 340 698
280 341 172
474 342 673
37 343 957
84 344 626
268 345 590
316 346 653
128 347 547
685 348 533
285 349 648
20 350 128
218 351 577
515 352 323
26 353 256
985 354 794
746 355 301
66 356 396
239 357 686
989 358 584
34 359 403
595 360 382
205 361 473
211 362 769
252 363 909
968 364 266
462 365 940
289 366 369
491 367 186
411 368 530
336 369 226
706 370 60
597 371 141
199 372 876
263 373 415
266 374 687
367 375 393
440 376 874
256 377 140
205 378 762
83 379 410
228 380 37
99 381 12
316 382 629
15 383 978
807 384 599
328 385 445
985 386 867
257 387 659
95 388 851
859 389 394
876 390 84
130 391 400
449 392 135
923 393 795
645 394 465
429 395 780
242 396 748
270 397 835
131 398 245
969 399 634
329 400 60
426 401 82
562 402 812
680 403 820
425 404 762
894 405 964
996 406 828
207 407 838
300 408 112
510 409 659
699 410 303
5 411 475
580 412 896
497 413 277
15 414 137
237 415 88
319 416 463
23 417 997
281 418 127
275 419 923
43 420 886
396 421 48
141 422 941
57 423 144
354 424 530
46 425 458
307 426 12
526 427 50
897 428 218
112 429 411
158 430 568
272 431 188
552 432 837
704 433 714
868 434 218
834 435 462
515 436 71
910 437 948
466 438 264
179 439 100
910 440 82
700 441 607
661 442 435
365 443 278
113 444 829
511 445 971
363 446 226
888 447 381
677 448 377
202 449 342
419 450 899
901 451 738
435 452 611
307 453 148
223 454 316
191 455 61
901 456 282
766 457 553
217 458 351
534 459 669
85 460 871
883 461 131
515 462 878
344 463 905
551 464 506
822 465 78
510 466 961
676 467 802
218 468 150
717 469 829
996 470 875
90 471 218
896 472 204
183 473 921
228 474 127
440 475 924
138 476 137
145 477 370
307 478 462
237 479 955
352 480 338
86 481 262
711 482 688
519 483 210
139 484 598
946 485 790
770 486 411
744 487 375
787 488 536
900 489 40
575 490 433
422 491 592
700 492 288
770 493 766
743 494 626
657 495 581
456 496 239
16 497 843
139 498 907
669 499 270
734 500 731
355 501 956
475 502 524
425 503 265
941 504 734
307 505 82
453 506 937
662 507 81
860 508 58
793 509 928
307 510 272
685 511 811
342 512 18
235 513 168
767 514 200
467 515 550
53 516 70
201 517 165
814 518 207
191 519 280
866 520 819
349 521 544
380 522 694
35 523 816
499 524 860
513 525 368
167 526 502
294 527 898
94 528 694
656 529 430
245 530 238
214 531 959
